trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
83,False,"{'a': 0.02, 'e': 0.19398004229089189}",20,8,5.380687426817339,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.02, 'e': 0.1901389801015205}",20,10,18.954172151240673,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.02, 'e': 0.18637397603940997}",25,5,-20.115550125250174,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
86,False,"{'a': 0.02, 'e': 0.18268352405273466}",20,5,14.741244766746128,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.02, 'e': 0.17906614791149322}",20,8,19.056629492362084,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.02, 'e': 0.17552040061699686}",20,0,11.170069722671439,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
89,False,"{'a': 0.02, 'e': 0.17204486382305054}",25,20,8.481301438925374,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.02, 'e': 0.1686381472685955}",20,0,8.6394157365067,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
91,False,"{'a': 0.02, 'e': 0.16529888822158653}",25,0,22.070782784475934,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
92,False,"{'a': 0.02, 'e': 0.16202575093388075}",20,0,26.947870649580395,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
93,False,"{'a': 0.02, 'e': 0.15881742610692068}",20,0,19.460264641904004,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
94,False,"{'a': 0.02, 'e': 0.1556726303679973}",20,9,18.87186359819401,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.02, 'e': 0.15259010575688386}",25,0,-4.0593484398128545,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
96,False,"{'a': 0.02, 'e': 0.14956861922263504}",30,16,27.0397471563379,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.02, 'e': 0.14660696213035015}",20,16,5.130498576200085,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.02, 'e': 0.14370394977770293}",20,1,30.696679112657083,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.02, 'e': 0.140858420921045}",20,13,0.9377836490022244,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.02, 'e': 0.13806923731089282}",25,7,28.4762667387715,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.02, 'e': 0.1353352832366127}",25,14,8.358061249441803,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.02, 'e': 0.13265546508012172}",30,13,14.884584367896705,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.02, 'e': 0.1300287108784259}",30,10,19.59549729101692,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.02, 'e': 0.12745396989482075}",20,7,10.530276205083002,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.02, 'e': 0.12493021219858241}",25,5,-10.79828579737893,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
106,False,"{'a': 0.02, 'e': 0.1224564282529819}",25,16,11.995626990352019,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.02, 'e': 0.12003162851145673}",20,7,23.97925277602821,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.02, 'e': 0.11765484302177918}",20,14,11.161718508822025,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.02, 'e': 0.11532512103806251}",20,14,11.576135822931628,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.02, 'e': 0.11304153064044985}",20,11,14.267096566626924,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.02, 'e': 0.11080315836233387}",25,0,-32.94482211203149,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
112,False,"{'a': 0.02, 'e': 0.10860910882495796}",25,0,39.20231332656726,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
113,False,"{'a': 0.02, 'e': 0.1064585043792528}",25,17,4.106582299681374,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.02, 'e': 0.104350484754765}",25,0,-12.020464174626193,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
115,False,"{'a': 0.02, 'e': 0.10228420671553744}",20,0,3.86183927271216,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
116,False,"{'a': 0.02, 'e': 0.1002588437228037}",20,0,-18.64665784716189,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
117,False,"{'a': 0.02, 'e': 0.09827358560436154}",25,15,7.190022880242912,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.02, 'e': 0.09632763823049303}",20,15,1.3373425710435611,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.02, 'e': 0.09442022319630235}",20,0,-17.678505086650848,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
120,False,"{'a': 0.02, 'e': 0.09255057751034329}",20,14,10.265310560524007,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.02, 'e': 0.09071795328941251}",20,3,28.180735937400524,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.02, 'e': 0.08892161745938634}",30,0,33.46421590355447,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
123,False,"{'a': 0.02, 'e': 0.0871608514619813}",30,10,29.74055158230198,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.02, 'e': 0.08543495096732123}",25,16,16.004682001113146,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.02, 'e': 0.08374322559219596}",25,0,38.70212201158862,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
126,False,"{'a': 0.02, 'e': 0.0820849986238988}",25,12,19.232993680880785,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.02, 'e': 0.08045960674953244}",25,15,5.266232464193188,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.02, 'e': 0.07886639979067495}",35,19,27.61052943159593,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.02, 'e': 0.07730474044329974}",20,15,9.385311474479941,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.02, 'e': 0.07577400402284548}",20,9,16.386916278704028,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.02, 'e': 0.07427357821433388}",25,5,8.3047979122025,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
132,False,"{'a': 0.02, 'e': 0.07280286282743559}",25,13,19.709664991984535,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.02, 'e': 0.07136126955638605}",30,0,37.78526015323629,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.02, 'e': 0.06994822174465536}",20,6,14.237658192033212,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.02, 'e': 0.06856315415427791}",20,11,-29.263122113809942,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
136,False,"{'a': 0.02, 'e': 0.06720551273974976}",25,1,35.809716205095924,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.02, 'e': 0.06587475442640295}",30,19,21.197480560485428,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.02, 'e': 0.06457034689316847}",20,12,1.6294904492058593,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.02, 'e': 0.0632917683596407}",30,11,27.545834421385337,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.02, 'e': 0.06203850737735829}",25,14,-1.090544782243133,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
